포천시,계,계,13116,7198,5717,4188,3221
포천시,계,1인가구,2931,1664,1377,1134,891
여주시,계,계,10143,6786,4748,3666,2781
여주시,계,1인가구,1963,1361,1105,906,801
연천군,계,계,4205,2618,2310,1860,1486
연천군,계,1인가구,952,675,617,603,559
가평군,계,계,6376,4203,3033,2312,1879
가평군,계,1인가구,1476,1040,794,679,592
양평군,계,계,12800,8785,6222,4516,3504
양평군,계,1인가구,2690,1832,1446,1129,988
강원특별자치도,계,계,129567,81861,61932,51133,37972
강원특별자치도,계,1인가구,29752,20387,17095,16402,13768
읍부,계,계,22346,14511,11696,9914,7029
읍부,계,1인가구,5100,3673,3328,3353,2661
면부,계,계,39712,25040,18322,15792,12567
면부,계,1인가구,9114,6211,4996,4920,4446
동부,계,계,67509,42310,31914,25427,18376
동부,계,1인가구,15538,10503,8771,8129,6661
춘천시,계,계,20878,12612,9755,8302,6473
춘천시,계,1인가구,4328,2812,2474,2431,2217
원주시,계,계,25055,14722,10108,8417,6508
원주시,계,1인가구,5655,3544,2658,2486,2224
강릉시,계,계,17712,11834,9249,7239,5228
강릉시,계,1인가구,3926,2851,2514,2382,1882
동해시,계,계,7243,4923,3676,2929,1932
동해시,계,1인가구,1748,1263,1068,1003,762
태백시,계,계,3845,2825,2132,1581,970
태백시,계,1인가구,1007,818,679,614,431
속초시,계,계,6930,4261,3309,2416,1719
속초시,계,1인가구,1788,1180,993,812,623
삼척시,계,계,5788,4024,3177,2652,2141
삼척시,계,1인가구,1323,1018,943,987,950
홍천군,계,계,7771,4636,3316,2761,2401
홍천군,계,1인가구,1831,1228,891,879,805
횡성군,계,계,5664,3566,2552,2133,1713
횡성군,계,1인가구,1277,843,621,607,559
영월군,계,계,4218,2880,2056,1848,1312
영월군,계,1인가구,1076,793,653,701,526
평창군,계,계,4774,2960,2325,1792,1326
평창군,계,1인가구,1213,800,682,567,513
정선군,계,계,3843,2520,1913,1632,1006
정선군,계,1인가구,1034,720,594,558,392
철원군,계,계,3508,2263,2104,1754,1105
철원군,계,1인가구,678,534,559,530,402
화천군,계,계,2009,1221,1011,1004,715
화천군,계,1인가구,487,314,317,310,271
양구군,계,계,1793,1078,844,839,580
양구군,계,1인가구,341,250,225,251,204
인제군,계,계,2828,1600,1182,1063,832
인제군,계,1인가구,620,400,315,349,279
고성군,계,계,2764,1874,1556,1353,979
고성군,계,1인가구,667,474,447,460,352
양양군,계,계,2944,2062,1667,1418,1032
양양군,계,1인가구,753,545,462,475,376
충청북도,계,계,119066,76265,54032,43845,33848
충청북도,계,1인가구,25728,17628,14336,14055,12632
읍부,계,계,23162,15044,10800,8629,6629
읍부,계,1인가구,4848,3387,2729,2614,2360
면부,계,계,35549,23775,17204,15438,13503
면부,계,1인가구,7785,5431,4631,5175,5299
동부,계,계,60355,37446,26028,19778,13716
동부,계,1인가구,13095,8810,6976,6266,4973
충주시,계,계,17051,10823,7788,6574,5027
충주시,계,1인가구,3601,2418,2064,2036,1925
제천시,계,계,12014,8034,5528,4573,3183
제천시,계,1인가구,2540,1928,1593,1622,1276
청주시,계,계,52272,31918,22035,16654,12405
청주시,계,1인가구,11185,7328,5616,5088,4238
상당구,계,계,13136,8350,5742,4510,3375
상당구,계,1인가구,2824,1983,1462,1453,1143
서원구,계,계,12960,8122,5672,4255,3143
서원구,계,1인가구,2872,2003,1576,1359,1129
흥덕구,계,계,15237,8775,5888,4148,3078
흥덕구,계,1인가구,3192,1844,1384,1182,978
청원구,계,계,10939,6671,4733,3741,2809
청원구,계,1인가구,2297,1498,1194,1094,988
보은군,계,계,3668,2502,1940,1822,1699
보은군,계,1인가구,737,570,538,700,729
옥천군,계,계,5036,3791,2648,2338,1895
옥천군,계,1인가구,1046,855,707,744,799
영동군,계,계,4891,3516,2725,2442,1862
영동군,계,1인가구,1119,863,763,825,768
진천군,계,계,5633,3590,2526,2064,1950
진천군,계,1인가구,1195,775,590,611,641
괴산군,계,계,4640,3202,2320,2029,1733
괴산군,계,1인가구,1067,730,636,655,687
음성군,계,계,7764,4937,3522,2948,2373
음성군,계,1인가구,1808,1182,932,905,855
단양군,계,계,3353,2182,1743,1407,983
단양군,계,1인가구,766,558,529,537,411
증평군,계,계,2744,1770,1257,994,738
증평군,계,1인가구,664,421,368,332,303
충청남도,계,계,148253,102535,77385,61911,54359
충청남도,계,1인가구,31217,22895,19454,19203,19470
읍부,계,계,35618,25158,19232,14599,12203
읍부,계,1인가구,7810,5796,4915,4475,4362
면부,계,계,61035,45245,35045,30927,29612
면부,계,1인가구,12557,9894,8711,9804,10985
동부,계,계,51600,32132,23108,16385,12544
동부,계,1인가구,10850,7205,5828,4924,4123
천안시,계,계,34145,20490,14361,10358,8081
천안시,계,1인가구,6838,4428,3462,2901,2537
동남구,계,계,16615,10465,7308,5369,4250
동남구,계,1인가구,3416,2278,1756,1495,1387
서북구,계,계,17530,10025,7053,4989,3831
서북구,계,1인가구,3422,2150,1706,1406,1150
공주시,계,계,9586,6715,4926,4178,3700
공주시,계,1인가구,1982,1420,1261,1320,1370
보령시,계,계,8767,6522,5114,3988,3433
보령시,계,1인가구,1953,1548,1332,1296,1280
아산시,계,계,17673,11554,8607,6488,5300
아산시,계,1인가구,4029,2738,2184,1936,1718
서산시,계,계,11787,8369,6492,5089,4728
서산시,계,1인가구,2290,1749,1521,1513,1615
논산시,계,계,10149,7220,5472,4642,4178
논산시,계,1인가구,2169,1720,1523,1558,1608
계룡시,계,계,2666,1664,1056,687,593
계룡시,계,1인가구,544,353,225,227,215
당진시,계,계,11412,7773,5976,4800,4422
당진시,계,1인가구,2638,1735,1432,1309,1421
금산군,계,계,5094,3830,2954,2552,2109
금산군,계,1인가구,1004,880,738,871,885
부여군,계,계,6730,5066,4021,3569,3352
부여군,계,1인가구,1350,1103,1091,1226,1374
서천군,계,계,5285,4305,3503,2986,2844
서천군,계,1인가구,1087,967,974,1070,1187
청양군,계,계,3279,2429,1926,1777,1772
청양군,계,1인가구,659,532,472,588,699
홍성군,계,계,7696,5767,4459,3788,3599
홍성군,계,1인가구,1693,1283,1077,1179,1337
예산군,계,계,7664,5926,4527,3933,3662
예산군,계,1인가구,1563,1340,1152,1215,1315
태안군,계,계,6320,4905,3991,3076,2586
태안군,계,1인가구,1418,1099,1010,994,909
전북특별자치도,계,계,130612,95778,76180,59305,47784
전북특별자치도,계,1인가구,28391,22567,20610,20069,19388
읍부,계,계,12123,8992,7316,5773,5072
읍부,계,1인가구,2534,2046,1931,1952,2010
면부,계,계,37921,30028,25733,23552,21237
면부,계,1인가구,7810,6845,7004,8459,9174
동부,계,계,80568,56758,43131,29980,21475
동부,계,1인가구,18047,13676,11675,9658,8204
전주시,계,계,39170,27749,20912,14440,10373
전주시,계,1인가구,8336,6407,5372,4371,3717
완산구,계,계,21618,15232,11336,7659,5599
완산구,계,1인가구,4750,3660,3030,2423,2085
덕진구,계,계,17552,12517,9576,6781,4774
덕진구,계,1인가구,3586,2747,2342,1948,1632
군산시,계,계,19150,13718,10519,7205,5148
군산시,계,1인가구,4248,3356,2887,2339,2014
익산시,계,계,20447,14548,10747,8065,6293
익산시,계,1인가구,4431,3329,2889,2715,2616
정읍시,계,계,8740,6442,5841,4985,4306
정읍시,계,1인가구,2076,1618,1636,1829,1895
남원시,계,계,6516,5090,4411,3675,3271
남원시,계,1인가구,1401,1191,1267,1372,1415
김제시,계,계,7426,5802,4785,4177,3808
김제시,계,1인가구,1720,1443,1320,1533,1658
완주군,계,계,7511,5394,4131,3256,2798
완주군,계,1인가구,1533,1141,1028,980,949
진안군,계,계,2455,1958,1659,1425,1310
진안군,계,1인가구,526,445,442,470,532
무주군,계,계,2323,1803,1382,1404,1249
무주군,계,1인가구,481,415,388,516,535
장수군,계,계,2093,1753,1307,1283,1134
장수군,계,1인가구,436,396,347,450,467
임실군,계,계,2412,2004,1781,1666,1578
임실군,계,1인가구,505,458,483,601,693
순창군,계,계,2497,1836,1807,1651,1385
순창군,계,1인가구,508,404,524,623,566
고창군,계,계,5040,3902,3575,3295,2741
고창군,계,1인가구,1115,977,1071,1252,1273
부안군,계,계,4832,3779,3323,2778,2390
부안군,계,1인가구,1075,987,956,1018,1058
전라남도,계,계,138186,100541,84275,69727,54584
전라남도,계,1인가구,30758,24536,24278,25164,23689
읍부,계,계,31440,22995,19327,15333,11726
읍부,계,1인가구,6870,5537,5480,5405,4863
면부,계,계,56463,43403,39567,37475,31886
면부,계,1인가구,12651,10836,11848,14164,14609
동부,계,계,50283,34143,25381,16919,10972
동부,계,1인가구,11237,8163,6950,5595,4217
목포시,계,계,15080,10426,8433,5578,3389
목포시,계,1인가구,3847,2813,2582,2015,1447
여수시,계,계,20268,14955,11311,7894,5167
여수시,계,1인가구,4124,3344,2915,2560,1917
순천시,계,계,17534,11602,8651,6694,5270
순천시,계,1인가구,3625,2612,2266,2211,2090
나주시,계,계,8076,5679,4831,4166,3187
나주시,계,1인가구,1837,1457,1436,1527,1399
광양시,계,계,8917,5542,3807,2774,2496
광양시,계,1인가구,1844,1284,966,897,884
담양군,계,계,4075,3079,2684,2425,1989
담양군,계,1인가구,809,670,641,763,771
곡성군,계,계,2535,1963,1796,1741,1713
곡성군,계,1인가구,576,489,553,674,794
구례군,계,계,2313,1798,1633,1577,1289
구례군,계,1인가구,583,445,446,581,554
고흥군,계,계,6496,5553,4913,4454,3904
고흥군,계,1인가구,1623,1513,1645,1790,1884
보성군,계,계,3854,3113,2768,2669,2519
보성군,계,1인가구,941,809,849,1059,1199
화순군,계,계,4907,3531,3158,2987,2354
화순군,계,1인가구,1193,973,976,1177,1079
장흥군,계,계,3386,2561,2316,2143,2028
장흥군,계,1인가구,746,666,801,866,1025
강진군,계,계,3258,2410,2249,2027,1755
강진군,계,1인가구,796,628,707,804,861
해남군,계,계,6086,4734,4234,3729,2887
해남군,계,1인가구,1362,1219,1244,1429,1362
영암군,계,계,4248,3029,2677,2358,2004
영암군,계,1인가구,1018,791,830,875,892
무안군,계,계,5452,4048,3412,2680,1861
무안군,계,1인가구,1133,943,921,920,773
함평군,계,계,3018,2274,2110,2033,1686
함평군,계,1인가구,717,579,654,744,759
영광군,계,계,4269,3362,3005,2636,1954
영광군,계,1인가구,943,809,928,932,882
장성군,계,계,3634,2664,2434,2260,1840
장성군,계,1인가구,674,567,640,732,693
완도군,계,계,4266,3304,3193,2751,2050
완도군,계,1인가구,944,780,902,1021,933
진도군,계,계,2728,2039,1972,1808,1435
진도군,계,1인가구,638,527,651,759,712
신안군,계,계,3786,2875,2688,2343,1807
신안군,계,1인가구,785,618,725,828,779
경상북도,계,계,206978,149405,104735,86743,66832
경상북도,계,1인가구,44903,35429,29043,30183,28064
읍부,계,계,47085,32681,23186,19068,14795
읍부,계,1인가구,10170,7683,6380,6394,5937
면부,계,계,66587,52694,39346,37270,32145
면부,계,1인가구,14871,12717,11155,13805,14351
동부,계,계,93306,64030,42203,30405,19892
동부,계,1인가구,19862,15029,11508,9984,7776
포항시,계,계,40906,27568,17342,11721,7363
포항시,계,1인가구,8568,6257,4752,3999,2919
남구,계,계,18802,12907,8081,5311,3149
남구,계,1인가구,4112,2944,2232,1808,1244
북구,계,계,22104,14661,9261,6410,4214
북구,계,1인가구,4456,3313,2520,2191,1675
경주시,계,계,21288,15358,11015,8745,6563
경주시,계,1인가구,4762,3713,2952,2926,2678
김천시,계,계,11201,8390,5914,5029,4215
김천시,계,1인가구,2208,1850,1664,1760,1773
안동시,계,계,12681,9761,7260,6357,4944
안동시,계,1인가구,2834,2380,2079,2274,2199
구미시,계,계,20627,12130,7252,5529,4024
구미시,계,1인가구,4086,2787,1890,1737,1426
영주시,계,계,9074,7331,5108,4530,3505
영주시,계,1인가구,1882,1652,1396,1617,1427
영천시,계,계,9554,7438,5451,4532,3415
영천시,계,1인가구,2359,1892,1532,1546,1451
상주시,계,계,9393,7080,5511,5007,4340
상주시,계,1인가구,1918,1668,1561,1843,1898
문경시,계,계,6860,5226,3943,3534,2719
문경시,계,1인가구,1485,1290,1138,1304,1207
경산시,계,계,18479,12925,9240,6933,4734
경산시,계,1인가구,3846,2860,2352,2151,1725
의성군,계,계,6024,4976,3559,3597,3042
의성군,계,1인가구,1398,1295,1078,1331,1474
청송군,계,계,2778,2224,1666,1599,1271
청송군,계,1인가구,617,535,500,613,570
영양군,계,계,1716,1320,1076,1148,878
영양군,계,1인가구,414,344,314,417,457
영덕군,계,계,3573,2987,2404,2455,1938
영덕군,계,1인가구,912,859,786,1055,938
청도군,계,계,4822,4050,2759,2455,2212
청도군,계,1인가구,1093,972,759,879,980
고령군,계,계,3140,2465,1717,1544,1309
고령군,계,1인가구,738,645,499,509,541
성주군,계,계,4559,3566,2488,1977,1632
성주군,계,1인가구,1062,841,663,644,638
칠곡군,계,계,6970,4586,3393,2755,2192
칠곡군,계,1인가구,1644,1078,882,888,761
예천군,계,계,4878,3886,2807,2844,2626
예천군,계,1인가구,1053,914,817,1009,1199
