행정구역,인구 수,고령자 수,독거 노인 수,설치대수,고령인구구성비율,독거노인구성비율,무인행정공급비율,행정수요비율,고령인구구성비율(정규화),독거노인구성비율(정규화),무인행정공급비율(정규화),행정수요비율(정규화),디지털과잉지수,무인행정수급불균형지수
서울특별시 노원구,486446,96277,23808,23,0.1979191934973255,0.048942739790233655,4.7281712666976393e-05,0.009389843909958137,0.2847908819267645,0.23102377256397102,0.013537147093446085,0.3928854450275553,0.0008906557990692291,0.3793482979341092
서울특별시 은평구,448142,93118,19415,36,0.20778681757121625,0.0433233216257347,8.033168058338651e-05,0.008650463626993458,0.31277408253529565,0.18722343326932045,0.06034373149069789,0.36139746017966834,0.0035336467019803372,0.30105372868897046
서울특별시 서대문구,316345,56867,11506,33,0.17976260095781504,0.036371682814648566,0.00010431648990816988,0.006106392429366685,0.23330132703534587,0.13303915125538662,0.09431190370653363,0.2530531113127885,0.002927272723250758,0.15874120760625487
서울특별시 마포구,358927,56799,11101,25,0.15824666297046475,0.030928294611439096,6.965204623781438e-05,0.006928350742054707,0.1722851386933288,0.0906108707406313,0.04521883915821215,0.288057846348104,0.0007059070670929376,0.24283900718989185
서울특별시 양천구,417397,76812,15439,37,0.18402623880861627,0.03698876609079605,8.864462370357238e-05,0.008056994360082715,0.24539240715834998,0.13784898317696676,0.0721168283581032,0.3361233871285957,0.0024395027178698995,0.2640065587704925
서울특별시 강서구,543974,102981,23386,31,0.18931235684058428,0.04299102530635655,5.6988017809674726e-05,0.01050030414696712,0.2603830979488849,0.1846333623564497,0.027283574684427443,0.44017661024082916,0.001311668953960793,0.4128930355564017
서울특별시 구로구,418832,78974,15352,32,0.18855770332734845,0.03665431485655346,7.640294915383733e-05,0.00808469409656074,0.25824300622136487,0.13524211586285823,0.054779717035481935,0.3373030356837522,0.0019131997258946174,0.28252331864827024
서울특별시 금천구,243662,45130,10700,24,0.18521558552420977,0.04391328972100697,9.84970984396418e-05,0.004703395951016597,0.24876522795962194,0.19182191695384054,0.08607026672215821,0.19330370648042192,0.004107154600502942,0.1072334397582637
서울특별시 영등포구,400799,65423,13338,44,0.16323144518823648,0.03327852614402731,0.0001097807130257311,0.007736603958645586,0.1864212832956378,0.10892966025494195,0.10205053816343888,0.32247892251640814,0.0020723205882095803,0.22042838435296924
서울특별시 동작구,381172,69962,12954,23,0.18354443663228148,0.0339846578447525,6.034021386670585e-05,0.007357744914844737,0.24402608362868927,0.11443357670555722,0.032031078465865455,0.3063444540898867,0.000894460741136741,0.27431337562402125
서울특별시 관악구,490493,84920,18862,31,0.17313193052704115,0.038455186924176286,6.320171745570274e-05,0.009467962957711845,0.21449767385156163,0.1492789441036289,0.03608364546321249,0.39621230056951956,0.0011553978321320589,0.3601286551063071
서울특별시 서초구,386254,65133,9309,36,0.16862737991062876,0.024100721287028743,9.320291828693036e-05,0.007455842518176673,0.20172339884813123,0.03739361240282918,0.07857245338815182,0.3105221362900998,0.0005926851052217789,0.23194968290194795
서울특별시 강남구,528194,87112,14616,57,0.16492425131675104,0.02767165094643256,0.00010791489490603831,0.010195703560470079,0.1912218445179601,0.0652270866346163,0.09940809767725735,0.42720458640781805,0.0012399016766528545,0.3277964887305607
서울특별시 송파구,628648,109517,17646,28,0.17421036891869535,0.02806976241076087,4.4540028760132856e-05,0.01213476232574091,0.21755597417103276,0.06833015116980826,0.009654273152363054,0.5097832734877481,0.00014351687773205094,0.5001290003353851
서울특별시 강동구,454023,84526,16604,36,0.18617118516022316,0.03657083451719406,7.929113723313577e-05,0.00876398428917274,0.2514751747630026,0.13459143156043804,0.05887007559288603,0.3662319641189546,0.0019925403486793867,0.30736188852606855
부산광역시 중구,39599,11515,3963,8,0.2907901714689765,0.10007828480517185,0.0002020253036692846,0.0007643776061277762,0.5481599754218804,0.6295978163717383,0.23269073206824473,0.02555274960870194,0.08030630073801398,-0.2071379824595428
부산광역시 서구,103413,28518,8357,7,0.2757680369005831,0.0808118901878874,6.768974887103168e-05,0.0019961762009770884,0.5055593045767095,0.479426642681031,0.042439761201370496,0.07801135093188126,0.010286489907266487,0.035571589730510764
부산광역시 동구,85665,24248,7377,9,0.28305609058542,0.0861145158466118,0.00010506040973559796,0.0016535874044530405,0.5262272046488412,0.5207577549431414,0.09536547042331135,0.06342152336608399,0.02613365766087799,-0.03194394705722736
부산광역시 영도구,106825,32823,9641,6,0.3072595366253218,0.09025040954832671,5.6166627662064125e-05,0.0020620378740523674,0.5948647896318776,0.5529948197279212,0.02612029164087214,0.08081620171250443,0.00859245661973104,0.0546959100716323
부산광역시 부산진구,356874,79246,20301,25,0.22205596372949557,0.056885623497368816,7.005273569943453e-05,0.006888721781086493,0.35323938365231944,0.29293427489112644,0.04578631036271825,0.2863701679622249,0.004737780712414335,0.24058385759950668
부산광역시 동래구,265089,57751,13351,10,0.21785513544507693,0.050364217300604704,3.772317976226852e-05,0.005117000308866539,0.341326422667525,0.2421034244836851,0.0,0.2109178734430283,0.0,0.2109178734430283
부산광역시 남구,260090,58944,13174,22,0.22662924372332655,0.05065169748933061,8.45861048098735e-05,0.005020504850571311,0.36620856554940545,0.2443441777855543,0.06636900410586133,0.20680842178642359,0.005938760266793895,0.14043941768056226
부산광역시 북구,265364,60006,15973,17,0.22612713103510648,0.06019279178788381,6.406294749853032e-05,0.00512230862073515,0.36478464425109336,0.3187118712522938,0.037303351236816044,0.21114393849715235,0.00433693225098887,0.1738405872603363
부산광역시 해운대구,365974,79813,19223,24,0.21808379830261165,0.05252558924950953,6.557842906873166e-05,0.007064378646556902,0.34197487852338243,0.25895015521855874,0.039449632171112754,0.2938508661168764,0.003493440395764121,0.25440123394576364
부산광역시 사하구,293036,68630,17678,20,0.23420330607843404,0.060327058791411294,6.82509998771482e-05,0.005656459915383193,0.3876875461750757,0.3197584102601458,0.04323462559132325,0.23389183732523114,0.0053596388770124175,0.19065721173390787
부산광역시 금정구,215539,53376,13189,22,0.24763963830211702,0.06119078217863125,0.0001020696950435884,0.004160539024904032,0.4257911035504574,0.32649066906515173,0.09112990989285345,0.1701850609635797,0.012668590487983456,0.07905515107072623
부산광역시 강서구,145762,19607,3785,21,0.1345137964627269,0.025966987280635557,0.00014407047104183533,0.0028136369257909777,0.10498205139202471,0.05194015109084922,0.1506129590590189,0.11282454721224797,0.0008212598747806705,-0.037788411846770925
부산광역시 연제구,207871,46606,11024,21,0.22420635875134098,0.0530328905907991,0.00010102419288885895,0.0040125239870549,0.3593376029230663,0.2629042960606641,0.08964923115311542,0.16388154519985795,0.00846928833513353,0.07423231404674253
부산광역시 수영구,167787,41828,9915,16,0.24929225744545166,0.05909277834397182,9.535899682335342e-05,0.0032387844490861183,0.4304777001081633,0.3101378586656512,0.08162597138966493,0.13093030291073143,0.010897673834115206,0.0493043315210665
부산광역시 사상구,205140,46071,12386,18,0.22458321146534074,0.06037827824900068,8.774495466510675e-05,0.003959807624461527,0.36040630446831756,0.32015763835729577,0.07084268386014055,0.1616365136987202,0.008174312810534863,0.09079382983857966
부산광역시 기장군,173228,31507,7839,17,0.18188168194518206,0.04525249959590828,9.813655990948345e-05,0.003343811812275624,0.23931074408763475,0.20226033694507714,0.08555965874871027,0.13540310276341921,0.004141350299928321,0.04984344401470894
대구광역시 중구,94128,16754,4304,14,0.17799167091619922,0.04572497025327214,0.00014873363929967704,0.0018169482893405217,0.22827921733121417,0.20594299135760008,0.15721711005763087,0.0703785726499099,0.007391170154112321,-0.08683853740772096
대구광역시 동구,336051,77011,20035,17,0.2291646208462406,0.05961892688907339,5.058755962636624e-05,0.006486776406395245,0.37339854016918345,0.3142389033147977,0.01821900957211582,0.26925252206394923,0.0021377520430350045,0.2510335124918334
대구광역시 서구,164110,42781,11898,10,0.2606849064651758,0.07250015233684724,6.093473889464384e-05,0.0031678074936647227,0.46278565799085786,0.4146411208802684,0.03287306675362536,0.12790760762340686,0.006308011594497453,0.0950345408697815
대구광역시 남구,136118,36052,10497,8,0.26485843165488765,0.0771169132664306,5.877253559411687e-05,0.002627479254296842,0.4746211912209372,0.45062628682423533,0.029810874635130713,0.10489665127780189,0.006375854026430318,0.07508577664267117
대구광역시 북구,422633,74454,18179,18,0.17616702907723722,0.043013678534331204,4.259014322118718e-05,0.008158064618061074,0.22310478848835896,0.1848099320728088,0.006892773284209624,0.34042766575911826,0.00028420269575224206,0.33353489247490864
대구광역시 수성구,398685,76265,16982,17,0.19129137038012467,0.04259503116495479,4.264017959040345e-05,0.007695797517590153,0.2659953033257079,0.1815468012135778,0.006963636637075111,0.3207410987912507,0.000336278166711512,0.31377746215417557
대구광역시 달서구,533000,97087,24326,24,0.18215196998123828,0.04563977485928705,4.5028142589118196e-05,0.010288473548981155,0.24007724312310774,0.2052789391276979,0.010345557972658568,0.4311553814991648,0.0005098580828391386,0.42080982352650625
대구광역시 달성군,263117,39591,8851,29,0.15046918291102437,0.033639027504874255,0.00011021712774165106,0.0050789348870305335,0.15022929393247772,0.11173957428145709,0.10266860479165994,0.20929678149127304,0.0017234524222378932,0.1066281766996131
대구광역시 군위군,21493,9610,2415,9,0.4471223188945238,0.11236216442562695,0.0004187409854371191,0.0004148783526984089,0.9914960622258693,0.7253440448032987,0.5396114792995153,0.010668626445172236,0.3880754979863144,-0.5289428528543431
인천광역시 중구,164937,24576,5944,26,0.1490023463504247,0.036038002388790874,0.00015763594584598968,0.0031837710351750557,0.1460695507736563,0.13043829197766216,0.16982488516180258,0.12858744689526364,0.003235684187192094,-0.041237438266538945
인천광역시 동구,57944,14994,3820,10,0.2587670854618252,0.06592572138616595,0.00017258042247687424,0.001118490265144773,0.45734698608096885,0.3633969710627102,0.19098980454887818,0.04063334385563404,0.031742220839318575,-0.15035646069324415
인천광역시 연수구,417391,49438,8949,21,0.11844529469969405,0.0214403281335726,5.0312536686224665e-05,0.008056878542369217,0.05941402965280664,0.01665728003398966,0.017829511933525822,0.336118454800142,1.7645442367924218e-05,0.3182889428666162
인천광역시 남동구,492920,86353,20997,33,0.17518664286293922,0.04259717601233466,6.694798344558955e-05,0.00951481122282137,0.22032455041857585,0.1815635191441933,0.04138924562820163,0.39820742742900733,0.0016556898840659167,0.3568181818008057
인천광역시 부평구,504885,88602,20219,23,0.17548946789863037,0.04004674331778524,4.55549283500203e-05,0.009745771046486586,0.22118331983050074,0.16168426935367783,0.011091611410268477,0.4080433124202607,0.00039665669280556954,0.3969517010099922
인천광역시 계양구,278600,47901,10819,23,0.17193467336683418,0.03883345297918162,8.255563531945442e-05,0.005377802496709474,0.2111024201366659,0.1522273243572205,0.06349337827137583,0.2220246550658301,0.0020403950500690157,0.15853127679445428
인천광역시 서구,634066,78892,15754,38,0.12442237874290689,0.02484599395015661,5.993066967791997e-05,0.012239345721028676,0.07636420333015942,0.04320261158325215,0.031451066869930065,0.5142371660813636,0.00010376125307816957,0.48278609921143356
인천광역시 미추홀구,421789,79936,18891,26,0.18951655922748104,0.044787796741972884,6.164219550533561e-05,0.008141772926362499,0.26096218733397736,0.19863822837836617,0.03387499291704824,0.3397338515566428,0.001755980262755833,0.30585885863959456
인천광역시 강화군,66309,24423,5153,17,0.3683210423924354,0.07771192447480735,0.0002563754543123859,0.0012799594607118038,0.7680266726287431,0.4552640788603697,0.3096634214068187,0.047509831774717536,0.10827534987982795,-0.26215358963210117
